alpha,avg_cbf_a_mean,avg_cbf_a_std,avg_cbf_alpha_mean,avg_cbf_alpha_std,avg_cbf_c_mean,avg_cbf_c_std,avg_cbf_phi_mean,avg_cbf_phi_std,avg_deflection_mean,avg_deflection_std,avg_h_mean,avg_h_min,avg_qp_active_rate,avg_u_safe_clamp_rate,checkpoint,collision_rate,collision_rate_actual,collision_rate_corridor,collision_rate_open,collision_rate_perceived_only,fall_rate,fall_rate_corridor,fall_rate_open,frac_steps_close,goal_reach_rate,goal_reach_rate_corridor,goal_reach_rate_open,infeasibility_rate,mean_dist_traveled,mean_final_displacement,mean_h,mean_min_h,mean_phi_used,mean_start_latency,mean_time_to_goal,mean_v_along_cmd,mean_v_xy,mode,n_episodes,n_episodes_corridor,n_episodes_open,name,navigation_success_rate,navigation_success_rate_corridor,navigation_success_rate_open,path_efficiency,phi,stuck_rate,stuck_rate_corridor,stuck_rate_open,timeout_rate,timeout_rate_corridor,timeout_rate_open
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.17140781524414342,0.2539033651494538,0.05780164551082999,-0.10333137798309326,0.455421875,0.0,,0.9719626168224299,0.056074766355140186,0.9719626168224299,0.0,0.9158878504672897,0.018691588785046728,0.018691588785046728,0.0,0.60578125,0.9158878504672897,0.9158878504672897,0.0,0.0,5.247131373559203,5.001133038618854,0.05780164551082999,-0.07162104533097455,0.004999935626983643,14.598130841121495,179.5408163265306,0.42767482054143435,0.5399118185937405,B0,107,107,0,B0_α=0.50,0.8691588785046729,0.8691588785046729,0.0,0.9468521766147883,,0.0,0.0,0.0,0.009345794392523364,0.009345794392523364,0.0
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.059808233364019546,0.1398197660855949,0.04314007078204304,-0.1082629486322403,0.242671875,0.0,,0.9814814814814815,0.027777777777777776,0.9814814814814815,0.0,0.9537037037037037,0.0,0.0,0.0,0.667625,0.9629629629629629,0.9629629629629629,0.0,0.0,5.437065169767097,5.254433084969167,0.04314007078204304,-0.08522152955885287,0.004999935626983643,18.666666666666668,142.5,0.4710703260935391,0.5902957989983261,B0,108,108,0,B0_α=2.00,0.9259259259259259,0.9259259259259259,0.0,0.9589214936593768,,0.009259259259259259,0.009259259259259259,0.0,0.018518518518518517,0.018518518518518517,0.0
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.037744783650065075,0.09906998273567297,0.02441881477739662,-0.10245101422071456,0.188296875,0.0,,0.9910714285714286,0.0,0.9910714285714286,0.0,0.9910714285714286,0.008928571428571428,0.008928571428571428,0.0,0.724484375,0.9910714285714286,0.9910714285714286,0.0,0.0,5.580731724521944,5.4328393479809165,0.02441881477739662,-0.09132958043898855,0.004999935626983643,11.276785714285714,120.27027027027027,0.4979723893467989,0.6375754611678421,B0,112,112,0,B0_α=3.00,0.9642857142857143,0.9642857142857143,0.0,0.9681921475908545,,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.27983475974854083,0.3181902217455208,0.07709869968146085,-0.09688985294103622,0.652765625,0.0,,0.97,0.07,0.97,0.0,0.9,0.02,0.02,0.0,0.522328125,0.89,0.89,0.0,0.0,5.295750360488892,4.915586460828781,0.07709869968146085,-0.04652840375900268,0.4999999701976776,15.35,197.93258426966293,0.4046891844503567,0.5057535864710808,B1,100,100,0,B1_α=0.50_φ=0.50,0.8,0.8,0.0,0.9243899378418652,0.5,0.0,0.0,0.0,0.01,0.01,0.0
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,2.0,0.0,0.8118491696119309,0.4336151675581932,0.1364782757386565,-0.10004723346233368,0.95775,0.0,,0.8735632183908046,0.09195402298850575,0.8735632183908046,0.0,0.7816091954022989,0.011494252873563218,0.011494252873563218,0.0,0.32440625,0.8390804597701149,0.8390804597701149,0.0,0.0,5.826076815183136,4.602526968923108,0.1364782757386565,-0.03389177171663306,2.0,25.06896551724138,210.5205479452055,0.37813408892985256,0.5161362991519273,B1,87,87,0,B1_α=0.50_φ=2.00,0.6666666666666666,0.6666666666666666,0.0,0.7907646860460643,2.0,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.0
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.11095247000350356,0.20235833264741815,0.05387898727040738,-0.08586471563577652,0.387484375,0.0,,0.9724770642201835,0.027522935779816515,0.9724770642201835,0.0,0.944954128440367,0.009174311926605505,0.009174311926605505,0.0,0.65575,0.908256880733945,0.908256880733945,0.0,0.0,5.336378596791434,5.078718917358906,0.05387898727040738,-0.06271412175729735,0.4999999701976776,19.477064220183486,140.0909090909091,0.4622592538795735,0.5649884360022843,B1,109,109,0,B1_α=2.00_φ=0.50,0.8899082568807339,0.8899082568807339,0.0,0.9310893591199664,0.5,0.0,0.0,0.0,0.01834862385321101,0.01834862385321101,0.0
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,2.0,0.0,0.4196609252858907,0.37303807654604315,0.0835587318725884,-0.08423316997289658,0.747703125,0.0,,0.970873786407767,0.06796116504854369,0.970873786407767,0.0,0.9029126213592233,0.019417475728155338,0.019417475728155338,0.0,0.43428125,0.8737864077669902,0.8737864077669902,0.0,0.0,5.426259295454303,4.926036297696308,0.0835587318725884,-0.034211012923601763,2.0,13.446601941747574,150.05555555555554,0.46433118624234276,0.5737763838917017,B1,103,103,0,B1_α=2.00_φ=2.00,0.8349514563106796,0.8349514563106796,0.0,0.8992218280918034,2.0,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.0
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.06994371082124416,0.15190561792557128,0.05483557212725282,-0.09097057348489761,0.274640625,0.0,,0.956140350877193,0.008771929824561403,0.956140350877193,0.0,0.9473684210526315,0.02631578947368421,0.02631578947368421,0.0,0.64709375,0.9385964912280702,0.9385964912280702,0.0,0.0,5.330010338310609,5.124135338162121,0.05483557212725282,-0.06336314950072974,0.4999999701976776,14.87719298245614,139.84112149532712,0.49043622328699255,0.5897158868350089,B1,114,114,0,B1_α=3.00_φ=0.50,0.9035087719298246,0.9035087719298246,0.0,0.9515597714036002,0.5,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,2.0,0.0,0.30185593491600593,0.3555370455784723,0.07010729994624854,-0.09923491436243058,0.626859375,0.0,,0.9714285714285714,0.05714285714285714,0.9714285714285714,0.0,0.9142857142857143,0.0,0.0,0.0,0.545453125,0.8857142857142857,0.8857142857142857,0.0,0.0,5.457414091201056,4.959259022417522,0.07010729994624854,-0.04073758465903146,2.0,14.457142857142857,155.31182795698925,0.44559223556824556,0.5682099239379168,B1,105,105,0,B1_α=3.00_φ=2.00,0.8476190476190476,0.8476190476190476,0.0,0.8947936190324616,2.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0
,0.05000000074505806,0.0,1.9017271715402604,0.7503857924938202,-0.10000000149011612,0.0,1.8260418251752852,1.4828089159727096,0.5962066720090806,0.684898088991642,0.06987311941199005,-0.09690716898441315,0.644625,0.032875,logs/rsl_rl/cbf_go2_teacher_rma/2026-05-20_18-25-01/model_2499.pt,0.9642857142857143,0.011904761904761904,0.9642857142857143,0.0,0.9523809523809523,0.023809523809523808,0.023809523809523808,0.0,0.53096875,0.8809523809523809,0.8809523809523809,0.0,0.0,6.086118738211336,5.010811099693889,0.06987311941199005,-0.04534827101798285,1.8260418251752852,13.214285714285714,160.67567567567568,0.40263453305949315,0.5532648082524538,BR,84,84,0,BR_teacher,0.8452380952380952,0.8452380952380952,0.0,0.8270473038068182,,0.0,0.0,0.0,0.011904761904761904,0.011904761904761904,0.0
