#{"t_start": 1779480233.964014, "env_id": "None"}
r,l,t
6.1800027,191,1.620548
6.1600027,192,1.621425
6.100003,195,1.623787
6.040003,198,1.62612
6.060003,197,1.776636
6.000003,200,1.779759
6.080003,196,1.781343
6.020003,199,1.781368
6.100003,195,2.336582
6.1400027,193,2.338226
6.060003,197,2.342948
6.040003,198,2.343767
6.020003,199,2.505286
5.980003,201,2.505401
6.1200027,194,2.506394
6.1400027,193,2.506427
6.2200027,189,2.655815
6.080003,196,2.662147
6.040003,198,2.662972
6.020003,199,2.664577
6.040003,198,2.936471
6.1200027,194,2.940744
6.1200027,194,2.941727
6.080003,196,2.946104
6.020003,199,3.097356
6.080003,196,3.098197
6.040003,198,3.100573
6.060003,197,3.102903
6.080003,196,3.364671
6.040003,198,3.365505
6.1600027,192,3.366349
6.000003,200,3.370397
6.1400027,193,3.517722
6.060003,197,3.519317
5.980003,201,3.523203
6.020003,199,3.526307
6.1400027,193,3.670966
6.000003,200,3.67491
6.060003,197,3.677979
6.020003,199,3.682594
6.080003,196,3.940929
6.2200027,189,3.942571
5.940003,203,3.950344
6.080003,196,3.952702
6.060003,197,4.098885
6.080003,196,4.099728
6.100003,195,4.106682
6.100003,195,4.109059
6.1600027,192,4.249074
6.020003,199,4.256538
6.080003,196,4.262649
6.040003,198,4.380858
6.080003,196,4.529499
6.100003,195,4.535016
6.100003,195,4.539655
6.1400027,193,4.542068
6.040003,198,4.68693
6.000003,200,4.693928
6.080003,196,4.695513
6.1200027,194,4.696318
6.1400027,193,4.950134
6.1600027,192,4.958691
6.040003,198,4.961021
6.060003,197,4.961843
6.100003,195,5.103372
6.1600027,192,5.109695
6.1400027,193,5.113814
6.100003,195,5.114632
6.1600027,192,5.256052
6.1400027,193,5.267856
6.1600027,192,5.267906
6.000003,200,5.269476
5.960003,202,5.534632
6.1800027,191,5.537136
6.1600027,192,5.539524
6.1200027,194,5.539554
6.3000026,185,5.689446
6.1200027,194,5.692235
6.1800027,191,5.692277
6.020003,199,5.700694
6.2200027,189,5.955379
6.080003,196,5.961215
6.000003,200,5.962033
6.060003,197,5.970874
6.2400026,188,6.110916
6.020003,199,6.113955
6.1200027,194,6.116266
6.080003,196,6.126513
6.080003,196,6.272163
6.100003,195,6.274611
6.100003,195,6.277022
6.1200027,194,6.286241
6.100003,195,6.543181
6.100003,195,6.545584
6.020003,199,6.551552
6.080003,196,6.558557
6.1400027,193,6.706296
6.020003,199,6.713232
6.1400027,193,6.714034
6.1400027,193,6.721147
6.1600027,192,6.857404
6.1400027,193,6.86584
6.080003,196,6.867441
6.020003,199,6.877482
6.1200027,194,7.122904
6.2000027,190,7.129775
6.100003,195,7.132144
6.040003,198,7.146112
6.080003,196,7.275393
6.1400027,193,7.280043
6.060003,197,7.286544
6.100003,195,7.299175
6.1400027,193,7.542659
6.040003,198,7.551181
6.040003,198,7.55683
6.1200027,194,7.567118
6.2200027,189,7.692672
6.100003,195,7.705701
6.040003,198,7.713445
6.060003,197,7.721878
6.1200027,194,7.844174
6.060003,197,7.859499
6.000003,200,7.869495
6.1400027,193,7.872617
6.100003,195,8.110724
6.1200027,194,8.126726
6.040003,198,8.14003
6.000003,200,8.144662
6.1800027,191,8.260062
6.100003,195,8.277518
6.1600027,192,8.288473
6.100003,195,8.295438
6.080003,196,8.416106
6.000003,200,8.436595
6.020003,199,8.561228
6.1200027,194,8.564432
6.1600027,192,8.685638
6.100003,195,8.708526
6.1800027,191,8.718458
6.000003,200,8.722334
6.040003,198,8.847511
6.2000027,190,8.865697
6.080003,196,8.88045
6.060003,197,8.885084
6.100003,195,9.114116
6.060003,197,9.132777
