#{"t_start": 1779485285.501112, "env_id": "None"}
r,l,t
5.6222787,105,1.212554
3.7152362,148,1.237408
3.419608,149,1.237979
3.5660396,151,1.239156
6.728146,77,1.281452
3.9979467,134,1.289085
5.6781216,109,1.300718
3.5041192,147,1.321714
-24.156761,96,1.341217
5.0519247,120,1.346666
-23.729965,88,1.387384
2.240569,175,1.392555
6.181274,95,1.397244
4.0002184,142,1.397275
-20.856966,22,1.408823
-21.560354,36,1.428264
-23.449663,75,1.433263
5.6009183,109,1.791644
-21.430407,36,1.798401
3.5966716,149,1.822415
7.7128997,58,1.822956
5.40714,106,1.830369
-21.23109,31,1.839238
5.4934745,104,1.85358
5.5348763,110,1.887655
-22.4897,64,1.894698
5.1831117,113,1.89782
5.787226,103,1.901646
7.1949167,69,1.924511
-23.83893,82,1.938347
-23.572868,84,1.968543
3.4068005,150,1.976083
-23.859095,91,1.985684
2.9178371,163,1.986719
-22.626577,58,2.018587
-23.127094,79,2.019138
5.111467,117,2.047977
3.3388608,151,2.048549
3.7015634,145,2.181751
-27.300312,159,2.189261
4.1828623,133,2.207273
2.821075,164,2.226306
7.419222,66,2.228232
-21.353312,33,2.246778
-26.020203,136,2.263323
-22.808329,61,2.284982
3.9413018,144,2.29659
-21.871485,44,2.325015
5.7974796,102,2.32883
2.7945657,166,2.333621
-21.850794,42,2.356756
4.0289607,137,2.374
6.267432,87,2.38174
5.587224,105,2.403424
5.8643284,100,2.422672
5.5734324,110,2.445623
4.543417,122,2.459774
-21.659117,38,2.552162
-23.142744,78,2.553974
4.965817,124,2.564034
-22.672285,60,2.600471
5.5428576,106,2.618004
4.971759,120,2.624625
3.1557837,157,2.63834
6.5376897,88,2.672785
4.0559015,138,2.685266
-21.407715,33,2.705817
5.472369,108,2.706595
4.1114135,140,2.712919
-21.100445,27,2.723392
-23.521473,83,2.725236
-22.122013,48,2.742256
-24.417898,101,2.787291
5.3267703,115,2.798244
-21.412878,34,2.809048
2.182467,179,2.820148
3.5948658,149,2.840022
6.4418507,82,2.872446
-24.317944,102,2.87427
5.1924605,116,2.978436
5.694577,108,2.988102
5.469855,111,3.008817
4.513138,129,3.019766
5.677297,108,3.034055
-21.40255,33,3.036582
7.8188553,56,3.037621
5.10647,120,3.049706
-24.371046,102,3.088059
5.6313896,106,3.092655
4.5005875,130,3.105901
5.718048,107,3.106435
-23.56533,84,3.131178
6.1034408,95,3.141268
5.6100955,103,3.158324
5.480172,113,3.163896
6.46431,84,3.173436
6.8717957,75,3.178947
8.0048895,51,3.190639
-21.035545,26,3.193239
7.763433,56,3.218941
4.458711,134,3.301982
5.002535,121,3.312268
-21.809135,41,3.316693
6.092312,97,3.319268
4.2970147,129,3.370316
4.875443,124,3.380685
4.8125405,124,3.383198
1.8694011,185,3.407362
-22.205729,49,3.407873
-21.164137,30,3.422983
5.1010985,109,3.426795
6.2247534,96,3.4306
-21.228157,31,3.440102
-20.84643,22,3.441659
6.5107536,88,3.471744
-25.696732,127,3.473246
2.4886355,173,3.528193
4.0588255,135,3.540246
7.7090435,59,3.558834
2.266606,169,3.559917
-0.93676937,239,3.637426
7.225315,70,3.67346
5.7057576,104,3.686605
3.2266793,156,3.694362
2.8956633,164,3.716279
7.874458,54,3.721821
5.9436812,100,3.73751
3.9969325,138,3.743593
7.42884,63,3.753719
-22.271803,52,3.763747
-25.49446,124,3.778968
5.404261,108,3.799609
-24.655338,98,3.804666
6.3309693,92,3.826853
3.3174233,156,3.844021
5.9322586,96,3.848054
6.2162485,96,3.85304
7.26222,66,3.881208
4.720752,122,3.888253
-21.21046,29,3.978914
4.519784,121,3.981062
4.32778,134,3.996884
3.9687688,138,4.028972
-24.15909,98,4.032525
-21.008558,25,4.041821
4.887967,123,4.043406
5.6327934,99,4.049027
8.017932,51,4.058591
-22.379757,54,4.086522
6.032979,100,4.09304
-21.45585,34,4.103722
4.453586,132,4.116454
7.8951144,54,4.131453
-23.17985,77,4.13248
1.9400083,183,4.13702
4.0994954,133,4.185163
5.3464994,108,4.188239
4.553073,126,4.19631
-26.011292,125,4.20129
-21.407665,33,4.201817
-23.38084,73,4.312015
5.7373104,104,4.322363
-21.509193,36,4.330549
3.256853,156,4.340738
1.3937303,189,4.370524
3.737277,141,4.393902
4.161264,135,4.398943
4.812186,123,4.403673
-24.235668,100,4.422729
6.8605986,80,4.441406
4.461881,134,4.463761
5.9593725,99,4.473326
7.0303855,75,4.479397
3.4354439,152,4.481923
-25.303059,121,4.541692
3.1664934,159,4.545547
3.716647,143,4.547061
7.120909,72,4.654086
6.0681133,99,4.673195
-24.892529,103,4.673714
-0.77909076,237,4.679523
-23.55574,79,4.696331
-22.052565,46,4.699215
-21.281988,31,4.715088
-20.952139,24,4.727336
5.1784062,118,4.741449
-21.62324,38,4.747823
-26.429234,143,4.749471
5.9420724,101,4.749488
4.594595,122,4.805738
4.7610617,124,4.813483
4.2001667,136,4.819507
-26.756815,141,4.820548
-21.540657,36,4.824081
-24.811138,109,4.869829
-24.905636,105,4.873903
3.7710629,145,4.896917
6.957412,75,4.909669
-21.713202,42,5.002664
1.651951,187,5.006335
-22.135859,49,5.019902
4.1879444,136,5.03021
7.068707,75,5.047052
