#{"t_start": 1779485502.72217, "env_id": "None"}
r,l,t
11.494555,105,1.054072
-4.7015224,130,1.066793
-4.7719126,130,1.066812
-5.073429,130,1.06682
12.286828,77,1.107764
-5.174982,130,1.12412
11.817765,109,1.127415
-5.171572,130,1.145792
11.1484785,119,1.182561
-23.404057,94,1.184155
-5.2491517,130,1.205072
-4.623982,130,1.215904
-23.109455,89,1.230172
12.071192,96,1.2322
-20.667423,23,1.244656
-23.249485,77,1.245179
-20.834642,29,1.260182
-21.170155,33,1.261708
-4.975327,130,1.569917
11.643901,109,1.575748
11.052816,107,1.603809
11.166356,105,1.60436
13.365113,57,1.604867
-20.962242,32,1.621031
11.595411,109,1.627485
-21.729872,63,1.635523
11.023428,113,1.660973
12.873906,68,1.661496
11.714948,103,1.672581
-23.345673,77,1.674106
-22.996416,85,1.704603
-23.14841,91,1.720545
-5.0590477,130,1.727681
-5.1453137,130,1.739297
-22.34687,58,1.76829
-5.118424,130,1.77082
12.119857,102,1.779076
10.979171,119,1.781101
-5.281553,130,1.907132
-5.1490083,130,1.909807
-4.8913517,130,1.918174
-4.8762913,130,1.920295
-21.05142,33,1.926935
13.040355,68,1.94197
-22.617115,62,1.958081
-5.104424,130,1.983812
-4.6031795,130,1.986022
-5.1654286,130,2.007657
-21.543756,44,2.008223
-4.962589,130,2.023886
11.792959,100,2.034504
11.7679205,89,2.05308
-21.836052,47,2.058135
11.388257,106,2.061151
11.650714,110,2.079854
-21.41514,38,2.09886
11.640299,102,2.109982
10.100434,124,2.116275
11.084962,125,2.124819
-22.314238,77,2.148612
-22.40936,62,2.155677
11.040273,118,2.158186
-5.1206436,130,2.262486
11.140309,111,2.301515
-4.794855,130,2.33233
-4.580558,130,2.33659
11.294744,109,2.352509
-21.062733,31,2.353064
-21.845318,48,2.36424
12.523767,87,2.364778
-20.890043,28,2.367324
-22.855312,82,2.407154
-5.2187314,130,2.419535
-23.976402,105,2.421688
-4.868232,130,2.431277
-21.124237,34,2.438869
11.47154,114,2.465768
11.149281,117,2.479292
11.887811,84,2.481814
11.636032,111,2.487861
-23.429996,100,2.51592
11.634978,110,2.534328
11.604406,109,2.609078
11.19477,120,2.621003
13.348701,58,2.638484
-4.5977726,130,2.653924
-23.71121,104,2.659502
-21.358255,37,2.672594
11.733243,108,2.675142
-4.6149035,130,2.704606
-23.220772,90,2.705659
11.363822,110,2.728954
11.507239,115,2.734209
12.074316,85,2.748665
11.129277,108,2.75907
13.460334,53,2.760567
11.912304,96,2.777424
13.339182,56,2.788936
11.106351,120,2.809152
12.37498,77,2.816136
-22.443462,59,2.818605
-4.2930694,130,2.824693
-20.894444,29,2.830775
