#{"t_start": 1779483238.350817, "env_id": "None"}
r,l,t
6.4045873,91,1.561031
5.100669,110,1.579397
4.341524,128,1.596751
3.5911856,149,1.616287
7.6720443,60,1.61813
6.298626,86,1.661378
7.250701,67,1.683038
5.114134,118,1.711906
5.0846386,118,1.732214
6.458395,85,1.785612
5.1667047,117,1.787287
3.8211522,142,1.79208
6.279498,94,1.869161
2.872446,165,1.875701
5.686713,109,1.886829
3.2458973,155,1.919198
6.823419,75,1.932353
3.4845676,152,2.532594
3.749623,142,2.559535
4.36146,134,2.565987
8.118739,49,2.575942
-0.3048092,220,2.581263
6.698972,82,2.627797
4.512389,125,2.693941
3.7736769,145,2.700752
3.3365898,156,2.727176
4.659521,125,2.749099
5.4590735,109,2.803212
6.591729,87,2.822478
4.379456,134,2.883333
6.535515,82,2.887289
7.8094993,55,2.922606
5.624236,109,3.144404
3.8612752,142,3.193384
5.4950304,107,3.205632
3.3686576,154,3.283605
7.590049,62,3.320025
5.9148545,103,3.427881
3.4911284,151,3.475263
4.104551,137,3.526846
4.453758,130,3.610022
6.1891613,95,3.820924
3.1614113,159,3.82873
2.8429418,162,3.883194
5.381803,113,4.04428
5.4791236,112,4.183198
3.986642,140,4.209257
6.031365,100,4.215053
3.5253606,151,4.282789
7.110429,69,4.319614
5.221789,113,4.350139
3.812376,144,4.853806
5.317888,112,5.032024
3.1506844,156,5.121421
4.2187457,134,5.16459
6.4087396,89,5.178174
6.987926,73,5.258326
5.7453046,106,5.28024
7.7056665,58,5.282237
3.5936103,150,5.567484
5.115915,114,5.687461
3.7615967,145,5.772762
2.5311975,171,5.813725
5.6982307,104,5.916456
3.9261127,141,5.924505
6.81861,81,5.941342
5.3887224,111,5.963519
6.387801,87,6.043461
5.3589916,113,6.25718
5.3255677,115,6.285577
2.970621,161,6.30367
6.352402,87,6.377415
3.106217,155,6.38036
3.208964,153,6.688208
7.4111037,66,6.77717
3.3726115,155,6.803055
6.4259057,87,6.810726
5.6345563,101,6.901432
5.433858,108,6.939134
6.188331,97,6.94458
4.9986978,121,6.999783
5.989615,101,7.116664
3.9725447,141,7.135772
5.064143,122,7.1528
5.022695,120,7.194202
8.061239,50,7.212751
6.648423,85,7.244794
5.522102,101,7.447633
5.8767056,104,7.475837
3.4148908,150,7.530947
6.0046077,92,7.535722
3.9793444,139,7.542596
3.6034527,149,7.616319
6.347581,92,7.617352
6.1430893,98,7.635976
3.6835814,139,7.673209
4.4801793,127,7.780044
6.037123,98,7.813678
3.5728464,151,7.81528
1.3344356,196,8.055132
2.7842631,166,8.217653
3.5715485,150,8.229507
5.6646237,106,8.427045
1.5652944,189,8.54916
5.974342,98,8.664457
5.7186074,108,8.749409
4.601648,128,8.749491
8.061505,50,8.844174
3.0308266,161,8.879066
7.6810913,60,8.924989
3.2457047,156,8.933869
1.5138036,191,9.016137
2.2110362,167,9.066848
3.5172591,148,9.087232
2.6219435,167,9.126292
6.5506263,87,9.200188
2.8754559,162,9.209823
6.2072983,91,9.239382
3.0877233,149,9.403344
7.922492,53,9.412702
8.110074,49,9.452569
4.539041,128,9.49563
6.8999715,75,9.528456
4.944127,122,9.535722
2.1926584,178,9.570654
6.0638914,95,9.625962
1.7616231,183,9.695041
2.0851092,181,9.745554
2.816311,165,9.766424
4.5371494,126,9.782944
5.810095,104,9.87017
2.9994092,163,9.874033
5.466334,110,9.889919
2.5387895,164,9.913587
7.236588,66,9.942821
5.4121723,105,10.123145
3.4152074,154,10.147698
4.539952,126,10.182733
2.683338,159,10.186903
4.379923,130,10.232319
4.4323635,129,10.254293
4.652856,123,10.285511
2.0977669,178,10.342328
5.733156,98,10.344262
3.8751812,143,10.360987
5.030866,118,10.399154
5.935017,93,10.464509
4.9640646,124,10.477248
3.2661753,154,10.50503
6.1803555,96,10.505071
5.47982,110,10.703442
6.074464,99,10.705139
6.570214,86,10.717772
5.285415,114,10.741107
7.982122,52,10.761204
6.248426,87,10.776182
5.3298106,116,10.836865
5.9649816,98,10.841979
4.2390275,133,10.886447
-0.56889904,233,10.899119
5.2882953,105,10.930391
4.3619113,131,10.947717
6.887352,74,10.963664
4.7524714,117,10.9913
6.49454,89,11.013777
6.019553,94,11.054656
4.3120112,134,11.076171
7.032193,76,11.086379
3.8224301,144,11.129588
5.645185,106,11.293809
4.3754706,130,11.337629
4.7879677,120,11.338542
5.788922,102,11.362187
3.8131266,143,11.421835
5.9763813,102,11.428757
4.251288,131,11.4551
6.8181553,81,11.498479
3.1048164,160,11.507957
2.6100178,170,11.589124
4.8301697,124,11.616239
2.0464048,172,11.618194
4.1182218,137,11.639221
6.505088,87,11.674731
7.1538224,70,11.708662
4.2372174,134,11.74737
1.5044528,186,11.922461
6.6592817,84,11.948297
2.822145,163,11.951757
1.942574,175,11.989967
7.5160227,64,12.001419
6.2282567,95,12.002254
4.862187,122,12.052433
5.862743,101,12.07401
5.7784243,106,12.090355
8.093039,49,12.09366
7.8035574,57,12.121563
3.334556,156,12.13147
6.122942,97,12.171814
4.6457715,123,12.198108
7.5148325,61,12.227423
3.7940054,145,12.250028
3.7369947,146,12.262292
7.3201694,65,12.288962
6.992293,71,12.331466
3.130217,159,12.471581
6.122544,95,12.499567
1.8415426,181,12.536092
3.5917768,148,12.595581
2.5287175,172,12.598826
4.109125,135,12.611264
4.8752575,123,12.638508
5.338569,112,12.6914
6.2567916,95,12.71996
7.835091,55,12.736277
3.6955142,148,12.736316
1.8516504,174,12.74524
6.645867,78,12.810983
6.0969553,90,12.811872
5.050816,121,12.820687
5.5850706,107,12.825895
7.063255,71,12.876528
5.3362675,106,13.032498
4.645342,126,13.062756
3.5491657,148,13.088265
3.6369934,146,13.132497
6.337735,92,13.143543
4.0743494,138,13.155952
6.2965593,92,13.16757
5.533951,112,13.240336
6.2998037,94,13.248416
3.7185183,147,13.259042
3.9126983,145,13.28401
5.8783307,95,13.330542
4.278484,125,13.376739
7.9425135,53,13.390386
3.9594264,141,13.428445
2.2953157,176,13.441942
7.9766164,53,13.483952
4.6457605,130,13.507095
4.813827,127,13.648141
5.733432,104,13.671386
5.5609107,108,13.710507
6.5872483,87,13.745099
