#{"t_start": 1779482225.418716, "env_id": "None"}
r,l,t
-12.339998,117,1.850918
-12.819998,141,1.875079
6.960002,152,1.884363
-10.56,28,1.924084
6.3200026,184,1.930282
-10.46,23,1.959156
-11.959999,98,1.97357
-11.579999,79,2.037872
6.660002,167,2.164856
6.860002,157,2.166864
-12.239999,112,2.1696
-4.999996,250,2.184777
-10.68,34,2.200159
-10.56,28,2.212399
-11.4,70,2.236531
6.960002,152,2.72954
-10.5,25,2.749158
6.5800023,171,2.75481
5.4600034,227,2.760373
6.1200027,194,2.794641
-10.4800005,24,2.813417
-12.779998,139,2.864757
6.780002,161,2.887206
-12.119999,106,2.895785
6.2400026,188,2.897409
-10.4800005,24,2.915712
-12.039999,102,2.96801
6.900002,155,2.986748
-11.959999,98,2.992187
6.940002,153,3.017633
-10.46,23,3.036746
-11.899999,95,3.043853
-11.579999,79,3.056102
-10.66,33,3.074146
-10.84,42,3.095328
-10.54,27,3.097697
6.4000025,180,3.25192
-11.419999,71,3.269454
5.1800036,241,3.34796
5.3400035,233,3.393218
6.720002,164,3.397386
-11.5199995,76,3.409858
5.5200033,224,3.428874
-10.4800005,24,3.428902
-12.779998,139,3.543939
6.2800026,186,3.547183
6.3600025,182,3.548001
-10.5,25,3.567991
6.3000026,185,3.581153
-11.759999,88,3.61433
-11.779999,89,3.618912
-10.64,32,3.773102
-12.359999,118,3.791496
-12.659998,133,3.847759
6.5000024,175,3.84779
-10.58,29,3.87146
-10.7,35,3.876127
-12.579998,129,3.892606
6.6400023,168,3.906774
-10.86,43,3.912218
-10.62,31,3.934782
-10.86,43,3.973554
-11.939999,97,3.979707
-10.7,35,4.010791
6.080003,196,4.044941
6.860002,157,4.054064
7.100002,145,4.109438
6.1400027,193,4.196387
6.4800024,176,4.360811
-10.64,32,4.372026
6.100003,195,4.387532
-10.4800005,24,4.39414
-10.86,43,4.400553
6.5800023,171,4.422688
-10.54,27,4.437228
-10.84,42,4.482016
-12.719998,136,4.535658
-12.259998,113,4.537459
-11.739999,87,4.561448
6.5800023,171,4.562383
-11.799999,90,4.640679
-11.999999,100,4.653858
6.5600023,172,4.756027
-12.459998,123,4.773665
6.1600027,192,4.779643
-10.4800005,24,4.800802
-10.76,38,4.843577
-11.679999,84,4.872827
5.040004,248,5.048728
-10.52,26,5.071327
-12.239999,112,5.085543
-11.739999,87,5.087192
5.820003,209,5.100655
-10.52,26,5.106499
-11.799999,90,5.171622
-10.62,31,5.197884
6.860002,157,5.199715
-12.799998,140,5.199741
-11.619999,81,5.278291
-10.5,25,5.300509
5.3200035,234,5.312851
6.3200026,184,5.372942
-11.499999,75,5.380978
5.800003,210,5.394303
-10.92,46,5.422488
-11.599999,80,5.444942
5.740003,213,5.496137
-12.379998,119,5.670613
6.780002,161,5.68447
6.040003,198,5.689187
-10.74,37,5.700257
-10.5,25,5.709588
-12.319999,116,5.712844
-10.78,39,5.715993
-10.58,29,5.738686
-10.7,35,5.740265
-10.52,26,5.759835
-11.459999,73,5.799643
6.940002,153,5.824136
-10.76,38,5.830415
6.5000024,175,5.849903
-10.52,26,5.850902
6.3600025,182,5.906051
6.940002,153,5.945989
-11.659999,83,5.973676
-10.88,44,5.983152
-10.4800005,24,5.993906
-10.58,29,6.008202
6.060003,197,6.011268
-10.56,28,6.018255
5.3800035,231,6.167118
-10.7,35,6.167175
-10.58,29,6.190432
-11.959999,98,6.213835
-12.219998,111,6.233698
-13.019998,151,6.287705
-11.48,74,6.293199
7.000002,150,6.3095
-12.399999,120,6.309528
-10.52,26,6.313984
-10.6,30,6.337878
-10.9,45,6.345678
-10.54,27,6.358995
6.920002,154,6.416341
6.1800027,191,6.47574
6.4800024,176,6.50296
6.820002,159,6.503003
-10.82,41,6.541021
6.6400023,168,6.570034
-12.239999,112,6.578823
-11.979999,99,6.594293
-11.919999,96,6.793091
-12.159999,108,6.816906
6.5600023,172,6.821598
-10.54,27,6.838224
6.4600024,177,6.850773
-10.76,38,6.88002
-11.759999,88,6.890118
-10.56,28,6.912775
-10.62,31,6.936726
5.880003,206,6.958553
6.6400023,168,6.974586
-10.68,34,6.990141
6.920002,154,7.012152
-10.440001,22,7.031527
-11.379999,69,7.037971
-10.58,29,7.057954
6.3200026,184,7.106867
-11.459999,73,7.106925
-12.139998,107,7.157534
-11.44,72,7.171707
5.1000037,245,7.330803
-10.68,34,7.358247
6.3200026,184,7.382209
-12.739998,137,7.401752
6.5000024,175,7.419305
-10.76,38,7.431755
-10.7,35,7.459269
6.3000026,185,7.503524
6.880002,156,7.505133
-12.459998,123,7.515917
-10.4800005,24,7.523631
-10.8,40,7.534441
-10.82,41,7.547449
-10.78,39,7.577309
6.1600027,192,7.609604
6.720002,164,7.651281
6.4000025,180,7.674334
-11.859999,93,7.681218
-13.699997,185,7.838268
-11.499999,75,7.855885
6.2400026,188,7.913097
6.740002,163,7.916997
-10.54,27,7.937758
6.2200027,189,7.986793
5.4400034,228,8.034695
-10.56,28,8.056622
-11.899999,95,8.060457
5.660003,217,8.086439
5.6000032,220,8.116258
6.660002,167,8.197819
6.000003,200,8.220344
6.5200024,174,8.349065
6.4000025,180,8.380923
-12.499998,125,8.445159
6.860002,157,8.449192
-11.699999,85,8.455341
-10.7,35,8.480435
6.700002,165,8.49471
-10.58,29,8.510027
-10.64,32,8.523198
-12.179998,109,8.55371
-10.82,41,8.591611
6.720002,164,8.598697
-10.74,37,8.632112
-13.539997,177,8.665368
6.2800026,186,8.688809
-11.799999,90,8.71389
-11.719999,86,8.742276
6.5600023,172,8.746759
-12.539998,127,8.93362
6.840002,158,8.980806
6.760002,162,9.008903
6.840002,158,9.009702
-10.56,28,9.032281
-12.099998,105,9.064551
-10.6,30,9.088624
-12.319999,116,9.103303
-11.799999,90,9.104119
-4.999996,250,9.13303
-10.84,42,9.136617
-11.659999,83,9.174409
5.3200035,234,9.293646
5.5000033,225,9.334879
5.980003,201,9.354397
-4.999996,250,9.360672
-10.54,27,9.502233
-12.179998,109,9.588295
6.3600025,182,9.60142
5.3800035,231,9.603002
-10.5,25,9.620764
5.820003,209,9.640585
-10.58,29,9.663043
-11.979999,99,9.698711
6.880002,156,9.710334
-11.639999,82,9.726523
-10.7,35,9.753538
6.100003,195,9.755109
5.760003,212,9.873921
6.6400023,168,9.998379
6.5000024,175,10.005679
-4.999996,250,10.007326
-10.7,35,10.017135
-12.239999,112,10.087926
-12.339998,117,10.111004
-10.92,46,10.125492
-13.079998,154,10.130916
6.3800025,181,10.150539
-11.919999,96,10.18585
-11.539999,77,10.190511
-11.719999,86,10.192073
-11.919999,96,10.263066
-11.759999,88,10.263117
-10.76,38,10.29252
5.860003,207,10.313219
6.2600026,187,10.337863
-10.62,31,10.362717
6.940002,153,10.382014
6.6000023,170,10.540388
-11.879999,94,10.552149
6.100003,195,10.583418
-12.839998,142,10.61522
6.5000024,175,10.686057
-11.959999,98,10.6938
6.4400024,178,10.699246
-10.66,33,10.726743
5.980003,201,10.748629
-10.62,31,10.751339
-12.999998,150,10.814029
5.3600035,232,10.8719
6.3800025,181,10.893271
6.4200025,179,10.894088
-10.82,41,10.926891
-11.639999,82,11.058889
6.5800023,171,11.073762
-10.72,36,11.09014
-10.6,30,11.098651
-12.359999,118,11.112477
-12.179998,109,11.138891
-11.859999,93,11.175603
-11.939999,97,11.191318
-11.579999,79,11.236993
-11.2,60,11.237807
6.2200027,189,11.24171
-10.64,32,11.262246
-13.419997,171,11.274786
-13.079998,154,11.363016
-12.439999,122,11.370917
6.3600025,182,11.381083
-10.54,27,11.384438
-10.62,31,11.395327
6.1800027,191,11.412824
-10.64,32,11.421846
-12.239999,112,11.633003
6.5200024,174,11.650251
6.4400024,178,11.656518
6.4800024,176,11.691847
-11.799999,90,11.705992
-12.199999,110,11.744656
-11.579999,79,11.767346
6.6200023,169,11.78528
-10.84,42,11.818821
6.2000027,190,11.843699
-12.599998,130,11.849021
6.3000026,185,11.924996
-12.519999,126,11.929456
-10.72,36,11.957427
-11.559999,78,11.99909
6.080003,196,12.148439
5.2600036,237,12.176422
-10.6,30,12.200137
6.900002,155,12.211376
-12.379998,119,12.219998
-10.62,31,12.235515
-10.64,32,12.244904
-10.7,35,12.263341
6.780002,161,12.276423
-10.46,23,12.294611
-11.859999,93,12.336354
6.5200024,174,12.337166
6.5000024,175,12.38179
6.860002,157,12.417371
-10.78,39,12.44818
6.660002,167,12.467711
5.5600033,222,12.513419
6.5800023,171,12.520098
-11.28,64,12.706654
-11.719999,86,12.718459
-10.58,29,12.729264
6.2400026,188,12.734855
-10.62,31,12.755009
-10.54,27,12.757388
6.1600027,192,12.758972
-12.099998,105,12.80198
-10.72,36,12.830061
-11.959999,98,12.831669
-12.219998,111,12.845489
6.5800023,171,12.891555
-11.559999,78,12.90689
-12.319999,116,12.922625
-12.459998,123,12.926502
-11.419999,71,12.947004
-10.66,33,12.948547
-10.58,29,12.973707
-11.48,74,12.989584
-10.56,28,12.999343
6.100003,195,13.076152
6.960002,152,13.083319
-10.6,30,13.104951
6.700002,165,13.265985
6.5400023,173,13.282195
-10.58,29,13.29019
-10.62,31,13.306589
-12.379998,119,13.31279
-10.72,36,13.318336
-11.679999,84,13.371573
-12.099998,105,13.393757
-10.76,38,13.400804
-10.54,27,13.422145
5.000004,250,13.431377
6.2400026,188,13.465282
-10.7,35,13.495643
-10.96,48,13.538727
6.2000027,190,13.587121
5.4600034,227,13.588056
6.040003,198,13.605513
-10.52,26,13.611899
-11.959999,98,13.627992
-10.76,38,13.645767
-10.54,27,13.669707
-12.279999,114,13.807944
-10.88,44,13.825987
-11.859999,93,13.827642
-10.62,31,13.83317
-12.579998,129,13.836291
-11.5199995,76,13.886823
-12.259998,113,13.923606
6.6400023,168,13.964391
-12.219998,111,13.973853
5.860003,207,13.987861
-12.159999,108,14.008661
-11.819999,91,14.034868
-10.68,34,14.034892
-11.739999,87,14.105525
-13.399998,170,14.109131
6.860002,157,14.113252
-10.84,42,14.142954
6.860002,157,14.162141
-12.019999,101,14.194197
6.760002,162,14.350397
6.4400024,178,14.417403
-12.819998,141,14.419774
-12.179998,109,14.436308
-4.999996,250,14.456123
-11.44,72,14.474888
-11.819999,91,14.491905
-10.62,31,14.515904
6.760002,162,14.563383
-13.459997,173,14.591239
6.2600026,187,14.660937
5.0800037,246,14.66655
6.680002,166,14.69311
-10.66,33,14.693149
6.800002,160,14.838311
-11.899999,95,14.858943
-11.4,70,14.870287
6.2000027,190,14.965507
-10.52,26,14.985771
6.720002,164,14.988848
5.5200033,224,15.015041
6.040003,198,15.02691
-10.58,29,15.038561
-12.359999,118,15.07862
6.1800027,191,15.13975
6.5400023,173,15.16441
5.5400033,223,15.214795
-13.579997,179,15.22023
-11.939999,97,15.242642
-10.64,32,15.396505
