#{"t_start": 1779482457.722028, "env_id": "None"}
r,l,t
-12.846997,117,1.580201
-14.758966,141,1.599888
5.080788,152,1.609459
-6.738336,28,1.631485
2.5277603,184,1.634572
-6.328624,23,1.65001
-11.561262,98,1.659578
-10.026226,79,1.697219
3.8868225,167,1.782426
4.698815,157,1.784037
-12.51614,112,1.786353
-18.679228,250,1.799598
-7.136299,34,1.811973
-6.7141953,28,1.822377
-9.341163,70,1.844261
5.0859733,152,2.291851
-6.4090514,24,2.310616
3.5824707,171,2.316957
-0.910126,227,2.323863
1.7429836,194,2.357318
-6.4109144,24,2.376303
-14.7683735,138,2.427055
4.381577,161,2.451916
-12.171197,106,2.460581
2.1387413,189,2.462203
-6.335965,23,2.478813
-11.728692,100,2.530153
4.926494,154,2.548853
-11.537553,98,2.555448
5.0070376,153,2.584074
-6.3322597,23,2.602072
-11.157164,93,2.605379
-10.85241,79,2.619478
-6.900539,30,2.628814
-6.4290853,24,2.647794
-7.63539,42,2.652473
2.8480613,180,2.810556
-9.656024,74,2.823937
-2.023163,241,2.928405
-0.98501515,228,2.968503
4.139091,164,2.97168
-9.822598,76,2.988186
-0.6636908,224,3.006564
-6.406971,24,3.008124
2.7678325,181,3.116255
-14.48528,138,3.116311
2.379648,186,3.117111
-6.579819,26,3.13836
2.4374454,185,3.1567
-10.763097,88,3.189218
-11.241991,94,3.194738
-7.061088,33,3.341868
-12.980866,116,3.353361
-14.239285,133,3.418294
3.2393758,175,3.420689
-6.9488378,31,3.444059
-7.1902323,35,3.449721
-14.141207,130,3.4599
3.8222663,168,3.4788
-7.951488,43,3.484598
-6.9635525,31,3.50493
-11.397317,97,3.539109
-7.70661,43,3.53999
-7.317445,35,3.56717
1.4113367,198,3.604416
4.692839,157,3.611535
5.6522956,145,3.657046
1.6486766,195,3.723976
3.1625183,176,3.862863
-6.9940724,32,3.867364
1.6492517,195,3.887105
-6.4093003,24,3.887948
-7.6783957,43,3.899368
3.555786,171,3.912921
-6.6165943,27,3.921129
-14.305201,135,3.998165
-12.659207,113,4.005119
3.5730789,171,4.026485
5.3254466,149,4.043625
-10.939718,90,4.078387
-11.771284,101,4.080057
-10.940533,90,4.116268
