#{"t_start": 1779495955.726709, "env_id": "None"}
r,l,t
10.01884,49,1.131783
9.877544,52,1.133473
9.891851,52,1.133495
9.890078,52,1.133504
-16.146965,28,1.148062
9.882831,52,1.160786
9.981342,50,1.161392
9.942283,51,1.161931
-16.093493,27,1.177067
9.84904,53,1.179194
9.897738,52,1.191211
9.957001,50,1.191232
-16.095821,27,1.19515
9.889896,52,1.206585
9.922068,51,1.218525
9.842895,53,1.219649
9.938532,51,1.222297
10.017828,49,1.232207
9.913655,51,1.247021
9.842781,53,1.247038
10.020563,49,1.248621
9.868613,52,1.260006
9.956979,50,1.274919
9.920721,51,1.275593
9.915868,51,1.277361
9.894822,52,1.292019
9.925371,51,1.304485
9.922,51,1.305092
9.883055,52,1.307148
9.851552,53,1.319529
9.9619465,50,1.330635
10.039648,49,1.330648
9.927795,51,1.333732
-15.999159,25,1.343495
10.035181,49,1.345047
9.866516,52,1.357446
9.8458805,53,1.361091
10.061417,48,1.369873
9.889538,52,1.370487
-16.19179,29,1.372682
9.962703,50,1.774278
9.917618,51,1.784109
9.976845,50,1.784131
10.012386,49,1.785761
9.971482,50,1.800953
9.996601,50,1.810366
9.819826,53,1.811985
9.799805,54,1.814095
9.937915,51,1.827912
9.9243965,51,1.837207
9.827975,53,1.839855
9.859828,52,1.841499
-16.097069,27,1.842014
-15.95119,24,1.85021
9.96734,50,1.866333
9.978355,50,1.868381
9.850526,53,1.869456
9.926172,51,1.876671
9.915695,51,1.892984
9.929478,51,1.895093
9.873479,52,1.89665
9.874496,52,1.903875
-15.960893,24,1.905477
-16.188646,29,1.9192
9.889819,52,1.922384
9.93935,51,1.923438
9.932071,51,1.932124
10.060563,48,1.944032
9.910171,51,1.949658
9.825721,53,1.949673
10.024344,49,1.957349
9.9248295,51,1.970296
10.019997,49,1.974963
9.944982,51,1.97602
9.922728,51,1.984192
9.884318,52,1.997662
9.840854,53,2.002803
9.889464,52,2.003317
9.891848,52,2.011065
9.930372,51,2.02398
9.878767,52,2.029714
9.916328,51,2.029727
9.84495,53,2.038446
9.877196,52,2.125796
-16.190247,29,2.128506
9.887,52,2.131688
9.84685,53,2.13223
9.960543,50,2.152541
9.937422,51,2.155802
9.977763,50,2.158711
9.894537,52,2.160302
9.962095,50,2.179157
9.935806,51,2.18276
9.903843,51,2.185344
9.917192,51,2.186902
-16.10102,27,2.199351
9.881076,52,2.206137
9.8625345,52,2.209727
9.822066,53,2.214297
-16.145357,28,2.220467
9.915484,51,2.225719
9.865581,52,2.236626
10.014107,49,2.23978
9.879827,52,2.247578
9.872608,52,2.252687
9.927566,51,2.262998
9.8837595,52,2.266609
9.958872,50,2.273837
-16.00223,25,2.276445
9.837255,53,2.280575
-16.147375,28,2.281626
9.897851,52,2.30072
9.85224,53,2.303771
9.90282,51,2.307969
9.84314,53,2.307982
-16.13847,28,2.322788
9.839633,53,2.328671
9.970822,50,2.330279
9.868813,52,2.33592
9.923913,51,2.350524
9.934512,51,2.356692
9.876605,52,2.358842
10.067527,48,2.362042
-16.093283,27,2.371165
-15.949736,24,2.374789
9.797673,54,2.379409
9.795835,54,2.461216
10.010875,49,2.470742
9.981564,50,2.474944
9.919683,51,2.480176
9.913336,51,2.487986
9.910181,51,2.497279
9.88961,52,2.501892
9.966549,50,2.506013
9.952071,50,2.513702
9.964534,50,2.52304
9.862482,52,2.528678
9.776434,54,2.533808
9.88346,52,2.540539
-16.100183,27,2.5478
9.881584,52,2.549878
9.927524,51,2.555102
9.875334,52,2.567418
9.894631,52,2.574619
9.818966,53,2.577238
9.785572,54,2.582922
9.829338,53,2.595337
9.920137,51,2.6015
9.921133,51,2.604142
9.820554,53,2.610836
-16.14594,28,2.618673
9.864864,52,2.62223
-16.002481,25,2.62377
9.783305,54,2.629453
-16.146038,28,2.638239
9.877055,52,2.645744
9.909538,51,2.64889
9.896935,52,2.657029
9.733503,55,2.667809
9.909695,51,2.673065
9.89311,52,2.676678
9.816155,53,2.685071
9.868363,52,2.695013
9.871015,52,2.700098
9.863822,52,2.704397
9.804171,53,2.716975
9.8777275,52,2.728463
9.907013,51,2.810022
9.815686,53,2.815094
9.974349,50,2.822712
9.916573,51,2.833179
9.824493,53,2.839172
9.917442,51,2.842954
9.935687,51,2.850641
9.884128,52,2.861623
9.968327,50,2.866429
10.008141,49,2.869623
9.91148,51,2.878449
9.977019,50,2.888745
9.928717,51,2.894104
9.982337,50,2.896769
9.818227,53,2.907236
9.95054,50,2.916079
9.972826,50,2.92143
9.909096,51,2.924693
9.97375,50,2.934337
-16.1384,28,2.939945
9.885085,52,2.944196
9.887838,52,2.949528
9.8599825,52,2.962773
9.746159,55,2.969825
9.876017,52,2.972508
9.846981,53,2.979037
9.79017,54,2.992849
9.909046,51,2.998245
9.84304,53,3.002069
9.9018135,52,3.007643
9.914158,51,3.020265
10.032607,49,3.024611
9.958779,50,3.028858
9.909785,51,3.034702
9.919899,51,3.047572
10.020058,49,3.050709
9.857375,52,3.056684
9.870027,52,3.06253
9.863989,52,3.075345
-16.14955,28,3.077444
9.84633,53,3.079061
9.892096,52,3.084608
9.885909,52,3.186792
9.860749,52,3.190861
9.864618,52,3.194309
9.964366,50,3.200218
9.859912,52,3.221692
9.8257475,53,3.224417
9.932284,51,3.22496
9.849577,53,3.23036
9.787745,54,3.251236
9.854236,52,3.252782
9.811511,53,3.253865
9.980938,50,3.257617
9.895602,52,3.279388
9.919969,51,3.280471
9.780562,54,3.283105
9.846299,53,3.286317
9.955856,50,3.307106
9.86198,52,3.309295
9.864688,52,3.3119
9.874142,52,3.315122
9.959491,50,3.333813
9.826717,53,3.337459
9.836225,53,3.340087
9.90906,51,3.342231
9.956652,50,3.360058
9.890231,52,3.364831
9.874704,52,3.367421
9.832765,53,3.370074
9.929996,51,3.386869
9.78703,54,3.393159
9.793495,54,3.396689
9.844897,53,3.399155
9.887801,52,3.416833
9.837776,53,3.424016
9.889754,52,3.426572
9.880533,52,3.429122
9.845977,53,3.45525
10.013099,49,3.46253
9.911357,51,3.467554
9.790717,54,3.548241
9.921412,51,3.563813
9.849873,53,3.569597
9.910603,51,3.571686
9.897155,52,3.575878
10.009204,49,3.589831
9.748006,55,3.599852
9.864827,52,3.600503
9.966857,50,3.603873
-16.101236,27,3.605591
9.904096,51,3.627232
9.913471,51,3.627761
9.838206,53,3.6319
9.886616,52,3.632955
9.840963,53,3.655441
9.845566,53,3.655956
9.916464,51,3.659098
9.737032,55,3.662222
9.8725605,52,3.682516
9.90349,51,3.682529
9.887729,52,3.686113
9.873418,52,3.689395
9.93606,51,3.709302
9.877795,52,3.709837
9.905906,51,3.712988
9.908012,51,3.716053
-16.146238,28,3.730487
9.957319,50,3.735064
9.970223,50,3.735597
9.928693,51,3.739248
9.943758,51,3.757066
9.9195,51,3.761711
9.864457,52,3.762782
9.797943,54,3.767441
-15.958345,24,3.775173
9.778942,54,3.784882
9.922881,51,3.788089
9.9174595,51,3.793696
10.009436,49,3.800358
-16.144533,28,3.802398
9.956498,50,3.810732
9.798074,53,3.894937
9.816632,53,3.90181
9.814346,53,3.904252
9.874851,52,3.912071
9.82148,53,3.922924
9.776164,54,3.930119
9.766592,54,3.932176
9.918349,51,3.938401
9.902137,51,3.949394
9.922348,51,3.956547
9.844147,53,3.959645
9.900418,52,3.965299
9.867525,52,3.976277
9.952984,50,3.982926
9.824921,53,3.987549
9.868807,52,3.992737
9.930449,51,4.002997
9.838984,53,4.010182
9.800003,54,4.01532
9.957268,50,4.018411
-16.000994,25,4.023035
9.871934,52,4.029754
9.83597,53,4.042481
9.902996,51,4.044554
9.917046,51,4.04924
9.80413,53,4.056951
9.886042,52,4.069295
9.859858,52,4.071324
9.798011,54,4.07699
10.002502,49,4.082127
9.906607,51,4.095496
9.815016,53,4.09857
9.840784,53,4.104232
9.870351,52,4.108888
9.894174,52,4.122238
9.891656,52,4.125345
9.89993,51,4.130475
9.861629,52,4.135634
9.831858,53,4.149515
9.862037,52,4.152551
9.818492,53,4.232445
9.875217,52,4.237188
9.776796,54,4.252271
9.887511,52,4.253843
9.944428,51,4.259096
9.86959,52,4.264262
9.85951,52,4.279674
9.958553,50,4.280202
9.785937,54,4.287394
9.907088,51,4.291115
9.949765,50,4.305735
9.8433485,53,4.307789
9.993766,50,4.31352
9.78047,54,4.319319
9.768831,54,4.333774
9.860502,52,4.334832
9.906718,51,4.339891
9.862655,52,4.346102
9.88705,52,4.360894
9.786379,54,4.362973
9.797529,54,4.368131
9.763957,54,4.374416
9.816981,53,4.388249
9.934284,51,4.389273
9.795669,54,4.395923
9.857224,52,4.401089
9.913115,51,4.414554
9.834501,53,4.416633
9.956303,50,4.421808
9.791815,54,4.429025
9.850388,53,4.442046
9.960685,50,4.442585
9.87411,52,4.449044
9.865954,52,4.456708
9.909799,51,4.470837
9.840703,53,4.472492
9.784527,54,4.479721
9.8623085,52,4.485982
9.882355,52,4.573874
9.8286295,53,4.576094
-16.197758,29,4.576632
9.790365,54,4.583559
9.864807,52,4.602192
9.943196,51,4.60474
9.845555,53,4.60528
9.826083,53,4.612851
9.872891,52,4.629838
9.954243,50,4.63091
9.832812,53,4.632979
